,0
0,[1 1]
1,[1 2]
2,[1 3]
3,[1 4]
4,[1 5]
5,[1 6]
6,[1 7]
7,[1 8]
8,[1 9]
9,[ 1 10]
10,[ 1 11]
11,[ 1 12]
12,[ 1 13]
13,[ 1 14]
14,[ 1 15]
15,[ 1 16]
16,[ 1 17]
17,[ 1 18]
18,[ 1 19]
19,[ 1 20]
20,[ 1 21]
21,[ 1 22]
22,[ 1 23]
23,[ 1 24]
24,[ 1 25]
25,[ 1 26]
26,[ 1 27]
27,[ 1 28]
28,[ 1 29]
29,[ 1 30]
30,[ 1 31]
31,[ 1 32]
32,[ 1 33]
33,[ 1 34]
34,[ 1 35]
35,[ 1 36]
36,[ 1 37]
37,[ 1 38]
38,[ 1 39]
39,[ 1 40]
40,[ 1 41]
41,[ 1 42]
42,[ 1 43]
43,[ 1 44]
44,[ 1 45]
45,[ 1 46]
46,[ 1 47]
47,[ 1 48]
48,[ 1 49]
49,[ 1 50]
50,[2 1]
51,[2 2]
52,[2 3]
53,[2 4]
54,[2 5]
55,[2 6]
56,[2 7]
57,[2 8]
58,[2 9]
59,[ 2 10]
60,[ 2 11]
61,[ 2 12]
62,[ 2 13]
63,[ 2 14]
64,[ 2 15]
65,[ 2 16]
66,[ 2 17]
67,[ 2 18]
68,[ 2 19]
69,[ 2 20]
70,[ 2 21]
71,[ 2 22]
72,[ 2 23]
73,[ 2 24]
74,[ 2 25]
75,[ 2 26]
76,[ 2 27]
77,[ 2 28]
78,[ 2 29]
79,[ 2 30]
80,[ 2 31]
81,[ 2 32]
82,[ 2 33]
83,[ 2 34]
84,[ 2 35]
85,[ 2 36]
86,[ 2 37]
87,[ 2 38]
88,[ 2 39]
89,[ 2 40]
90,[3 1]
91,[3 2]
92,[3 3]
93,[3 4]
94,[3 5]
95,[3 6]
96,[3 7]
97,[3 8]
98,[3 9]
99,[ 3 10]
100,[ 3 11]
101,[ 3 12]
102,[ 3 13]
103,[ 3 14]
104,[ 3 15]
105,[ 3 16]
106,[ 3 17]
107,[ 3 18]
108,[ 3 19]
109,[ 3 20]
110,[ 3 21]
111,[ 3 22]
112,[ 3 23]
113,[ 3 24]
114,[ 3 25]
115,[ 3 26]
116,[ 3 27]
117,[4 1]
118,[4 2]
119,[4 3]
120,[4 4]
121,[4 5]
122,[4 6]
123,[4 7]
124,[4 8]
125,[4 9]
126,[ 4 10]
127,[ 4 11]
128,[ 4 12]
129,[ 4 13]
130,[ 4 14]
131,[ 4 15]
132,[ 4 16]
133,[ 4 17]
134,[ 4 18]
135,[ 4 19]
136,[ 4 20]
137,[ 4 21]
138,[ 4 22]
139,[ 4 23]
140,[ 4 24]
141,[ 4 25]
142,[ 4 26]
143,[ 4 27]
144,[ 4 28]
145,[ 4 29]
146,[ 4 30]
147,[ 4 31]
148,[ 4 32]
149,[ 4 33]
150,[ 4 34]
151,[ 4 35]
152,[ 4 36]
153,[5 1]
154,[5 2]
155,[5 3]
156,[5 4]
157,[5 5]
158,[5 6]
159,[5 7]
160,[5 8]
161,[5 9]
162,[ 5 10]
163,[ 5 11]
164,[ 5 12]
165,[ 5 13]
166,[ 5 14]
167,[ 5 15]
168,[ 5 16]
169,[ 5 17]
170,[ 5 18]
171,[ 5 19]
172,[ 5 20]
173,[ 5 21]
174,[ 5 22]
175,[ 5 23]
176,[ 5 24]
177,[ 5 25]
178,[ 5 26]
179,[ 5 27]
180,[ 5 28]
181,[ 5 29]
182,[ 5 30]
183,[ 5 31]
184,[ 5 32]
185,[ 5 33]
186,[ 5 34]
