,0
0,In the beginning God created the heaven and the earth. 
1,"And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters. "
2,"And God said, Let there be light"
3,"And God saw the light, that it was good"
4,"And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day. "
5,"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters. "
6,"And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament"
7,And God called the firmament Heaven. And the evening and the morning were the second day. 
8,"And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear"
9,And God called the dry land Earth; and the gathering together of the waters called he Seas
10,"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth"
11,"And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind"
12,And the evening and the morning were the third day. 
13,"And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years"
14,"And God made two great lights; the greater light to rule the day, and the lesser light to rule the night"
15,"And God set them in the firmament of the heaven to give light upon the earth, "
16,And the evening and the morning were the fourth day. 
17,"And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven. "
18,"And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind"
19,"And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth. "
20,And the evening and the morning were the fifth day. 
21,"And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind"
22,"And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind"
23,"And God said, Let us make man in our image, after our likeness"
24,"So God created man in his own image, in the image of God created he him; male and female created he them. "
25,"And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it"
26,"And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat. "
27,"And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat"
28,"And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day. "
29,"Thus the heavens and the earth were finished, and all the host of them. "
30,And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made. 
31,"And God blessed the seventh day, and sanctified it"
32,"These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens, "
33,"But there went up a mist from the earth, and watered the whole face of the ground. "
34,"And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul. "
35,And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed. 
36,"And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil. "
37,"And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads. "
38,The name of the first is Pison
39,And the name of the second river is Gihon
40,And the name of the third river is Hiddekel
41,"And the LORD God took the man, and put him into the garden of Eden to dress it and to keep it. "
42,"And the LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat"
43,"And the LORD God said, It is not good that the man should be alone; I will make him an help meet for him. "
44,"And out of the ground the LORD God formed every beast of the field, and every fowl of the air; and brought them unto Adam to see what he would call them"
45,"And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found an help meet for him. "
46,"And the LORD God caused a deep sleep to fall upon Adam, and he slept"
47,"And Adam said, This is now bone of my bones, and flesh of my flesh"
48,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife"
49,"And they were both naked, the man and his wife, and were not ashamed. "
50,"Now the serpent was more subtil than any beast of the field which the LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden? "
51,"And the serpent said unto the woman, Ye shall not surely die"
52,"And when the woman saw that the tree was good for food, and that it was pleasant to the eyes, and a tree to be desired to make one wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat. "
53,"And the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons. "
54,And they heard the voice of the LORD God walking in the garden in the cool of the day
55,"And the LORD God called unto Adam, and said unto him, Where art thou? "
56,"And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat? "
57,"And the LORD God said unto the woman, What is this that thou hast done? And the woman said, The serpent beguiled me, and I did eat. "
58,"And the LORD God said unto the serpent, Because thou hast done this, thou art cursed above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life"
59,"Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee. "
60,"And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it"
61,And Adam called his wife's name Eve; because she was the mother of all living. 
62,"Unto Adam also and to his wife did the LORD God make coats of skins, and clothed them. "
63,"And the LORD God said, Behold, the man is become as one of us, to know good and evil"
64,"So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life. "
65,"And Adam knew Eve his wife; and she conceived, and bare Cain, and said, I have gotten a man from the LORD. "
66,"And she again bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground. "
67,"And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto the LORD. "
68,"And Abel, he also brought of the firstlings of his flock and of the fat thereof. And the LORD had respect unto Abel and to his offering"
69,"And the LORD said unto Cain, Why art thou wroth? and why is thy countenance fallen? "
70,And Cain talked with Abel his brother
71,"And the LORD said unto Cain, Where is Abel thy brother? And he said, I know not"
72,"And now art thou cursed from the earth, which hath opened her mouth to receive thy brother's blood from thy hand; "
73,"And Cain said unto the LORD, My punishment is greater than I can bear. "
74,"Behold, thou hast driven me out this day from the face of the earth; and from thy face shall I be hid; and I shall be a fugitive and a vagabond in the earth; and it shall come to pass, that every one that findeth me shall slay me. "
75,"And the LORD said unto him, Therefore whosoever slayeth Cain, vengeance shall be taken on him sevenfold. And the LORD set a mark upon Cain, lest any finding him should kill him. "
76,"And Cain went out from the presence of the LORD, and dwelt in the land of Nod, on the east of Eden. "
77,"And Cain knew his wife; and she conceived, and bare Enoch"
78,And unto Enoch was born Irad
79,And Lamech took unto him two wives
80,And Adah bare Jabal
81,And his brother's name was Jubal
82,"And Zillah, she also bare Tubalcain, an instructer of every artificer in brass and iron"
83,"And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives of Lamech, hearken unto my speech"
84,"If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold. "
85,"And Adam knew his wife again; and she bare a son, and called his name Seth"
86,"And to Seth, to him also there was born a son; and he called his name Enos"
87,"This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him; "
88,"And Adam lived an hundred and thirty years, and begat a son in his own likeness, and after his image; and called his name Seth"
89,"And Seth lived an hundred and five years, and begat Enos"
90,"And Enos lived ninety years, and begat Cainan"
91,And Cainan lived seventy years and begat Mahalaleel
92,"And Mahalaleel lived sixty and five years, and begat Jared"
93,"And Jared lived an hundred sixty and two years, and he begat Enoch"
94,"And Enoch lived sixty and five years, and begat Methuselah"
95,"And Methuselah lived an hundred eighty and seven years, and begat Lamech. "
96,"And Methuselah lived after he begat Lamech seven hundred eighty and two years, and begat sons and daughters"
97,"And Lamech lived an hundred eighty and two years, and begat a son"
98,"And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters"
99,And Noah was five hundred years old
100,"And it came to pass, when men began to multiply on the face of the earth, and daughters were born unto them, "
101,"And the LORD said, My spirit shall not always strive with man, for that he also is flesh"
102,"There were giants in the earth in those days; and also after that, when the sons of God came in unto the daughters of men, and they bare children to them, the same became mighty men which were of old, men of renown. "
103,"And God saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually. "
104,"And it repented the LORD that he had made man on the earth, and it grieved him at his heart. "
105,"And the LORD said, I will destroy man whom I have created from the face of the earth; both man, and beast, and the creeping thing, and the fowls of the air; for it repenteth me that I have made them. "
106,But Noah found grace in the eyes of the LORD. 
107,These are the generations of Noah
108,"And Noah begat three sons, Shem, Ham, and Japheth. "
109,"The earth also was corrupt before God, and the earth was filled with violence. "
110,"And God looked upon the earth, and, behold, it was corrupt; for all flesh had corrupted his way upon the earth. "
111,"And God said unto Noah, The end of all flesh is come before me; for the earth is filled with violence through them; and, behold, I will destroy them with the earth. "
112,"Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch. "
113,And this is the fashion which thou shalt make it of
114,"A window shalt thou make to the ark, and in a cubit shalt thou finish it above; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it. "
115,"And, behold, I, even I, do bring a flood of waters upon the earth, to destroy all flesh, wherein is the breath of life, from under heaven; and every thing that is in the earth shall die. "
116,"But with thee will I establish my covenant; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons' wives with thee. "
117,"And of every living thing of all flesh, two of every sort shalt thou bring into the ark, to keep them alive with thee; they shall be male and female. "
118,"Of fowls after their kind, and of cattle after their kind, of every creeping thing of the earth after his kind, two of every sort shall come unto thee, to keep them alive. "
119,"And take thou unto thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee, and for them. "
120,"Thus did Noah; according to all that God commanded him, so did he. "
121,"And the LORD said unto Noah, Come thou and all thy house into the ark; for thee have I seen righteous before me in this generation. "
122,"Of every clean beast thou shalt take to thee by sevens, the male and his female"
123,"Of fowls also of the air by sevens, the male and the female; to keep seed alive upon the face of all the earth. "
124,"For yet seven days, and I will cause it to rain upon the earth forty days and forty nights; and every living substance that I have made will I destroy from off the face of the earth. "
125,And Noah did according unto all that the LORD commanded him. 
126,And Noah was six hundred years old when the flood of waters was upon the earth. 
127,"And Noah went in, and his sons, and his wife, and his sons' wives with him, into the ark, because of the waters of the flood. "
128,"Of clean beasts, and of beasts that are not clean, and of fowls, and of every thing that creepeth upon the earth, "
129,"And it came to pass after seven days, that the waters of the flood were upon the earth. "
130,"In the six hundredth year of Noah's life, in the second month, the seventeenth day of the month, the same day were all the fountains of the great deep broken up, and the windows of heaven were opened. "
131,And the rain was upon the earth forty days and forty nights. 
132,"In the selfsame day entered Noah, and Shem, and Ham, and Japheth, the sons of Noah, and Noah's wife, and the three wives of his sons with them, into the ark; "
133,"And they went in unto Noah into the ark, two and two of all flesh, wherein is the breath of life. "
134,"And they that went in, went in male and female of all flesh, as God had commanded him"
135,"And the flood was forty days upon the earth; and the waters increased, and bare up the ark, and it was lift up above the earth. "
136,"And the waters prevailed, and were increased greatly upon the earth; and the ark went upon the face of the waters. "
137,"And the waters prevailed exceedingly upon the earth; and all the high hills, that were under the whole heaven, were covered. "
138,Fifteen cubits upward did the waters prevail; and the mountains were covered. 
139,"And all flesh died that moved upon the earth, both of fowl, and of cattle, and of beast, and of every creeping thing that creepeth upon the earth, and every man"
140,"And every living substance was destroyed which was upon the face of the ground, both man, and cattle, and the creeping things, and the fowl of the heaven; and they were destroyed from the earth"
141,And the waters prevailed upon the earth an hundred and fifty days. 
142,"And God remembered Noah, and every living thing, and all the cattle that was with him in the ark"
143,"And the ark rested in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat. "
144,And the waters decreased continually until the tenth month
145,"And it came to pass at the end of forty days, that Noah opened the window of the ark which he had made"
146,"Also he sent forth a dove from him, to see if the waters were abated from off the face of the ground; "
147,And he stayed yet other seven days; and again he sent forth the dove out of the ark; 
148,And he stayed yet other seven days; and sent forth the dove; which returned not again unto him any more. 
149,"And it came to pass in the six hundredth and first year, in the first month, the first day of the month, the waters were dried up from off the earth"
150,"And in the second month, on the seven and twentieth day of the month, was the earth dried. "
151,"And God spake unto Noah, saying, "
152,"Bring forth with thee every living thing that is with thee, of all flesh, both of fowl, and of cattle, and of every creeping thing that creepeth upon the earth; that they may breed abundantly in the earth, and be fruitful, and multiply upon the earth. "
153,"And Noah went forth, and his sons, and his wife, and his sons' wives with him"
154,"And Noah builded an altar unto the LORD; and took of every clean beast, and of every clean fowl, and offered burnt offerings on the altar. "
